gene,species
human:MBNL3,human
human:ARHGAP5,human
human:APPL1,human
human:MAPT,human
human:ACTN1,human
human:MAP3K9,human
human:STMN3,human
human:PACS2,human
human:CHST8,human
human:ANKHD1-EIF4EBP3,human
human:APC2,human
human:OLFML1,human
human:EML6,human
human:IGFBP6,human
human:SLC23A2,human
human:PCDH17,human
human:FAT4,human
human:AKAP11,human
human:LYL1,human
human:NLGN1,human
human:AMOTL1,human
human:LTBP1,human
human:NETO1,human
human:TRIB2,human
human:ATP8A2,human
human:GPR12,human
human:PPFIA3,human
human:FJX1,human
human:ABTB2,human
human:B4GALNT4,human
human:TTBK1,human
human:CCDC88A,human
human:STX1A,human
human:CACHD1,human
human:SNED1,human
human:SRPK3,human
human:PTPN5,human
human:GABRB3,human
human:SCARF2,human
human:PPP2R5B,human
human:PHACTR1,human
human:PRRC2B,human
human:CTNND1,human
human:OST4,human
human:TMEM214,human
human:CDKN2D,human
human:RPS19BP1,human
human:MRPL52,human
human:GFRA3,human
human:DSCAML1,human
human:RPS6KL1,human
human:MPPED1,human
human:MUSTN1,human
human:PATZ1,human
human:PPP1R1B,human
human:AKAP6,human
human:C5orf15,human
human:CSRNP3,human
human:CHD5,human
human:CLMP,human
human:DGKI,human
human:ATOX1,human
human:KLHDC8A,human
human:SHROOM3,human
human:STBD1,human
human:PHF21B,human
human:LIMD2,human
human:TUB,human
human:DYDC2,human
human:ADAMTSL3,human
human:CHD3,human
human:GMNC,human
human:SLC25A1,human
human:MEX3A,human
human:RB1CC1,human
human:EFEMP1,human
human:TCAP,human
human:FDXR,human
human:AKT1,human
human:LAMTOR1,human
human:ZNF608,human
human:C11orf96,human
human:SLITRK4,human
human:C4orf54,human
human:FAM107A,human
human:SLC7A11,human
human:WNK2,human
human:SAMD14,human
human:C11orf98,human
human:LSM3,human
human:PPIC,human
human:HACD1,human
human:ENG,human
human:SLC6A13,human
human:GRIK3,human
human:ZNF821,human
human:GRM7,human
human:A2M,human
human:ABCA9,human
human:ACKR1,human
human:ACOX2,human
human:ADAMTS5,human
human:ADAMTSL1,human
human:ADAP1,human
human:ADORA1,human
human:AFP,human
human:AGBL1,human
human:AIFM3,human
human:AKAP5,human
human:ALB,human
human:ANKRD66,human
human:AP3B2,human
human:APCDD1,human
human:APOC1,human
human:ARMCX2,human
human:ARMCX3,human
human:ARMCX5-GPRASP2,human
human:ASPH,human
human:ASTN2,human
human:ASXL3,human
human:ATP6AP2,human
human:ATP9A,human
human:ATXN7L3B,human
human:AXL,human
human:BCL7C,human
human:BCLAF1,human
human:BEST3,human
human:BEX3,human
human:C11orf97,human
human:C14orf132,human
human:C18orf32,human
human:C19orf33,human
human:C1orf122,human
human:C1QTNF3,human
human:C2orf72,human
human:C9orf40,human
human:CALY,human
human:CAPN6,human
human:CBLB,human
human:CBLN1,human
human:CCDC112,human
human:CCDC184,human
human:CCDC8,human
human:CCNO,human
human:CCT8,human
human:CD24,human
human:CD34,human
human:CD9,human
human:CD93,human
human:CDC20B,human
human:CDC25B,human
human:CDK2AP1,human
human:CDKL2,human
human:CEND1,human
human:CENPB,human
human:CFAP46,human
human:CGGBP1,human
human:CKAP2,human
human:CLEC1B,human
human:CLEC2L,human
human:CLIC6,human
human:CLIP3,human
human:CLVS1,human
human:COL24A1,human
human:COL26A1,human
human:COL3A1,human
human:COL6A1,human
human:COPRS,human
human:COX6C,human
human:CST3,human
human:CYTL1,human
human:DCUN1D5,human
human:DDN,human
human:DDX25,human
human:DDX5,human
human:DEFB1,human
human:DIRAS2,human
human:DLK1,human
human:DLX6-AS1,human
human:DMP1,human
human:DMPK,human
human:DOCK11,human
human:DOK5,human
human:DPP10,human
human:DUSP26,human
human:DUSP7,human
human:DUSP9,human
human:ECEL1,human
human:EGFLAM,human
human:EID1,human
human:EMCN,human
human:EMX2OS,human
human:ENHO,human
human:EPB41L2,human
human:EPB42,human
human:EPHA5,human
human:EPHB1,human
human:EPM2AIP1,human
human:ERI3,human
human:ERMAP,human
human:ERMP1,human
human:F11,human
human:F12,human
human:FAM124A,human
human:FAM181B,human
human:FAM241B,human
human:FBXL16,human
human:FCGRT,human
human:FMC1,human
human:FN1,human
human:FNDC1,human
human:FOXC2,human
human:FRRS1L,human
human:FXYD2,human
human:FXYD3,human
human:FXYD5,human
human:FXYD7,human
human:GABRG3,human
human:GLIS1,human
human:GNG2,human
human:GNG4,human
human:GPRIN1,human
human:H19,human
human:HCFC1R1,human
human:HDAC2,human
human:HDGF,human
human:HECTD4,human
human:HMGN1,human
human:HNRNPA2B1,human
human:HNRNPLL,human
human:HOXA7,human
human:HRC,human
human:HRK,human
human:IBSP,human
human:IDH3B,human
human:IGFBP4,human
human:IGFBPL1,human
human:IL17B,human
human:IMMP1L,human
human:INSM2,human
human:IPO5,human
human:IRGQ,human
human:ISYNA1,human
human:ITM2A,human
human:ITPRIPL2,human
human:JAML,human
human:JPH4,human
human:JSRP1,human
human:JUND,human
human:KCNE4,human
human:KCNK3,human
human:KCNQ1OT1,human
human:KDELR1,human
human:KIAA0408,human
human:KIAA1958,human
human:KIF11,human
human:KIF12,human
human:KIF24,human
human:KLHDC7A,human
human:KLHL1,human
human:KLHL9,human
human:KLKB1,human
human:KPNB1,human
human:KRAS,human
human:KREMEN2,human
human:KRT10,human
human:LAPTM5,human
human:LINC00261,human
human:LRRC17,human
human:LRRC49,human
human:LRRTM4,human
human:LTBP2,human
human:LTBP4,human
human:LYPD1,human
human:LYPD3,human
human:MAGEH1,human
human:MALAT1,human
human:MAMSTR,human
human:MAP2K3,human
human:MAP4,human
human:MATN2,human
human:MATR3,human
human:MCM2,human
human:MED13L,human
human:MEG3,human
human:MFAP5,human
human:MGAT5B,human
human:MIAT,human
human:MIR9-3HG,human
human:MME,human
human:MORF4L1,human
human:MORF4L2,human
human:MRLN,human
human:MRO,human
human:MRPL42,human
human:MSC,human
human:MT3,human
human:MTCH1,human
human:MUC15,human
human:MUC16,human
human:MYMX,human
human:MYO18B,human
human:NAALADL2,human
human:NACAD,human
human:NAP1L2,human
human:NAP1L3,human
human:NAP1L5,human
human:NBDY,human
human:NDUFS2,human
human:NDUFS7,human
human:NEAT1,human
human:NECTIN4,human
human:NELL1,human
human:NEUROG2,human
human:NFIB,human
human:NKAIN3,human
human:NNAT,human
human:NOL4,human
human:NPAS3,human
human:NREP,human
human:NRK,human
human:NSA2,human
human:NSG1,human
human:OTX2-AS1,human
human:P3H2,human
human:PAIP2,human
human:PAK3,human
human:PANK3,human
human:PANTR1,human
human:PCDH9,human
human:PCSK1N,human
human:PDPN,human
human:PEA15,human
human:PEG10,human
human:PEG3,human
human:PIEZO2,human
human:PIMREG,human
human:PIRT,human
human:PITPNM1,human
human:PKHD1,human
human:PLA2G12B,human
human:PLAGL1,human
human:PNMA2,human
human:POGK,human
human:POU3F4,human
human:PPFIBP1,human
human:PPP1R12B,human
human:PPP1R1A,human
human:PRAP1,human
human:PRKAR2B,human
human:PRR32,human
human:PRR7,human
human:PRRX2,human
human:PTMS,human
human:PTPN14,human
human:PXDN,human
human:QPRT,human
human:RANBP3L,human
human:RCBTB2,human
human:RDX,human
human:RGS10,human
human:RHOB,human
human:RIIAD1,human
human:RIT2,human
human:RNF112,human
human:RNF217,human
human:RPL41,human
human:RSBN1,human
human:RTL6,human
human:S100A8,human
human:SAMD5,human
human:SCAND1,human
human:SCGB3A2,human
human:SCN11A,human
human:SCN3B,human
human:SCRG1,human
human:SCRN1,human
human:SDC1,human
human:SEC11C,human
human:SERPINB2,human
human:SERPINB7,human
human:SEZ6L,human
human:SGCZ,human
human:SHISA6,human
human:SIDT1,human
human:SLC15A3,human
human:SLC35F1,human
human:SLC38A1,human
human:SLC6A12,human
human:SLITRK1,human
human:SLITRK5,human
human:SLN,human
human:SMIM10L2A,human
human:SMIM17,human
human:SMIM26,human
human:SMLR1,human
human:SNCA,human
human:SNHG18,human
human:SNHG6,human
human:SNRPG,human
human:SORBS1,human
human:SPAG5,human
human:SPIN1,human
human:SPINK1,human
human:SPN,human
human:SPP1,human
human:SPRR1B,human
human:SPTA1,human
human:SRGAP3,human
human:SRM,human
human:SRSF12,human
human:SS18L1,human
human:SSC5D,human
human:SSR2,human
human:STAB2,human
human:SUGP2,human
human:SVEP1,human
human:SYNPO,human
human:SYT11,human
human:SYT3,human
human:TAF1D,human
human:TBC1D2B,human
human:TCEAL1,human
human:TCEAL3,human
human:TCEAL6,human
human:TCEAL7,human
human:TCEAL9,human
human:TEAD2,human
human:TEAD4,human
human:TEKT1,human
human:TF,human
human:TFF3,human
human:TGFB1I1,human
human:TIMP1,human
human:TIMP3,human
human:TLE1,human
human:TLE4,human
human:TLL2,human
human:TMEM109,human
human:TMEM158,human
human:TMEM176B,human
human:TMPRSS6,human
human:TOMM5,human
human:TREML2,human
human:TRIM28,human
human:TRIM67,human
human:TSHZ2,human
human:TSPAN32,human
human:TSPOAP1,human
human:TTC9,human
human:TUBB3,human
human:TUG1,human
human:TXNRD1,human
human:UBE2L6,human
human:UBQLN2,human
human:USP3,human
human:VPS13B,human
human:VPS35,human
human:WFDC21P,human
human:WLS,human
human:WT1-AS,human
human:YBX3,human
human:YPEL4,human
human:ZCCHC3,human
human:ZFP90,human
human:ZKSCAN1,human
human:ZNF22,human
human:ZNF24,human
human:ZNF32,human
human:ZNF397,human
human:ZNF428,human
human:ZNF469,human
human:ZNF580,human
human:ZNF664,human
human:ZNF804A,human
human:ZSCAN18,human
human:ZWINT,human
human:AC007325.4,human
human:C4A,human
human:MT-ND5,human
human:MT-TL1,human
human:MT-TV,human
human:TTTY14,human
human:RPS4Y1,human
human:FUNDC2,human
human:LAGE3,human
human:MT-ND1,human
human:IDH3G,human
human:MT-ND2,human
human:ATP2B3,human
human:HAUS7,human
human:PNMA5,human
human:VMA21,human
human:SLITRK2,human
human:CDR1,human
human:SAGE2P,human
human:MIR503HG,human
human:RTL8C,human
human:LINC00629,human
human:FIRRE,human
human:RAP2C,human
human:ACSL4,human
human:TSC22D3,human
human:TCEAL4,human
human:BEX5,human
human:TCEAL2,human
human:Z83818.2,human
human:MT-CO2,human
human:FTX,human
human:MT-CO1,human
human:MT-CYB,human
human:FOXO4,human
human:FAM155B,human
human:NUDT11,human
human:MAOB,human
human:Z92545.1,human
human:AC091806.1,human
human:CFAP47,human
human:TMEM47,human
human:NDUFB11,human
human:VCX3B,human
human:VCX3A,human
human:PRKX,human
human:ODF3B,human
human:PNPLA3,human
human:LINC00634,human
human:PHF5A,human
human:POLDIP3,human
human:SREBF2,human
human:LINC00632,human
human:XRCC6,human
human:Z83844.3,human
human:AL022313.4,human
human:TRIOBP,human
human:Z74021.1,human
human:C22orf42,human
human:UXT,human
human:MTFP1,human
human:TCN2,human
human:XBP1,human
human:AP000553.5,human
human:PPM1F,human
human:AC000093.1,human
human:SEPT5,human
human:TMEM191B,human
human:DGCR9,human
human:SF3A1,human
human:CFAP410,human
human:TKTL1,human
human:MT-ATP6,human
human:C2CD2,human
human:WRB,human
human:AP000331.1,human
human:AP000311.1,human
human:CFAP298,human
human:CYYR1,human
human:FP671120.2,human
human:HSPA13,human
human:TCEA2,human
human:AL121845.3,human
human:BIRC7,human
human:SLC17A9,human
human:NKAIN4,human
human:MIR1-1HG,human
human:ADRM1,human
human:FAM217B,human
human:TUBB1,human
human:TFAP2C,human
human:AKAP14,human
human:KCNG1,human
human:BEX4,human
human:UBE2V1,human
human:B4GALT5,human
human:ZFAS1,human
human:TP53RK,human
human:CSE1L,human
human:SYS1-DBNDD2,human
human:KCNS1,human
human:RPL37AP1,human
human:IFT52,human
human:AL021395.1,human
human:MYBL2,human
human:AL359555.3,human
human:KIAA1755,human
human:SRC,human
human:SOGA1,human
human:RAB5IF,human
human:NFS1,human
human:ATP5F1E,human
human:MT1P3,human
human:NORAD,human
human:ACSS2,human
human:AHCY,human
human:COMMD7,human
human:TTLL9,human
human:FOXS1,human
human:NXT1,human
human:LINC00237,human
human:OTOR,human
human:MT-ND4,human
human:PRND,human
human:FTLP3,human
human:AL121899.1,human
human:RPS15AP1,human
human:MRPS26,human
human:SRXN1,human
human:AC012313.6,human
human:A1BG,human
human:ZNF749,human
human:AC003002.2,human
human:ZSCAN5B,human
human:ISOC2,human
human:HSPBP1,human
human:UBE2S,human
human:MKKS,human
human:ZNF528-AS1,human
human:ZNF836,human
human:AC008750.8,human
human:KLK6,human
human:ASPDH,human
human:ATF5,human
human:C19orf48,human
human:CPT1C,human
human:COX6CP7,human
human:FLT3LG,human
human:AC010619.1,human
human:RRAS,human
human:SLPI,human
human:SULT2A1,human
human:TMEM160,human
human:DACT3,human
human:IGFL2,human
human:FOSB,human
human:KLC3,human
human:ERCC1,human
human:APOC2,human
human:APOC1P1,human
human:AC011481.3,human
human:AC006213.2,human
human:APOC4-APOC2,human
human:AC010247.2,human
human:GSK3A,human
human:AC010616.2,human
human:DMAC2,human
human:BCKDHA,human
human:EXOSC5,human
human:B9D2,human
human:AC011462.1,human
human:EGLN2,human
human:RAB4B-EGLN2,human
human:AC093063.1,human
human:AC005515.2,human
human:LRFN1,human
human:SCML1,human
human:ZNF540,human
human:ZNF793,human
human:HSPB6,human
human:AD000671.1,human
human:HAMP,human
human:JAM2,human
human:AC020907.6,human
human:USF2,human
human:VSTM2B,human
human:MXRA5,human
human:LINC00662,human
human:NR1H2,human
human:RPSAP58,human
human:ZNF91,human
human:AC011448.1,human
human:GDF1,human
human:AC003112.1,human
human:KXD1,human
human:PIK3R2,human
human:SSBP4,human
human:MAP1S,human
human:AC010618.3,human
human:BST2,human
human:ANKLE1,human
human:PLVAP,human
human:CPAMD8,human
human:CYP4F12,human
human:AC010618.1,human
human:RPL36A,human
human:OR7A1P,human
human:SAMD1,human
human:STX10,human
human:THSD8,human
human:ASNA1,human
human:AC010422.5,human
human:SIGLEC11,human
human:AC010422.8,human
human:TSPAN16,human
human:AC011472.3,human
human:PRKCSH,human
human:RAVER1,human
human:AC011511.4,human
human:ICAM4,human
human:AC011511.1,human
human:FDX2,human
human:PPAN-P2RY11,human
human:PPAN,human
human:AC010323.1,human
human:CLEC4M,human
human:AC010503.1,human
human:AC008763.3,human
human:MLLT1,human
human:CAPS,human
human:MAP3K15,human
human:AC011499.1,human
human:DUS3L,human
human:UBL5,human
human:HSD11B1L,human
human:LONP1,human
human:MIR7-3HG,human
human:ZFR2,human
human:NCLN,human
human:ZNF556,human
human:LDOC1,human
human:NRIP1,human
human:MKNK2,human
human:STK11,human
human:ABCA7,human
human:MADCAM1,human
human:PLPP2,human
human:CCBE1,human
human:MEX3C,human
human:AC012254.2,human
human:UBD,human
human:RPL7AP66,human
human:RPRD1A,human
human:DSG1,human
human:TAF4B,human
human:KCTD1,human
human:AC091021.1,human
human:OSBPL1A,human
human:GATA6-AS1,human
human:NPC1,human
human:TMEM86B,human
human:MIR133A1HG,human
human:PSMG2,human
human:LINC00667,human
human:LINC00470,human
human:AC144831.1,human
human:MYL12A,human
human:CD7,human
human:DCXR,human
human:GCGR,human
human:ARL16,human
human:MRPL12,human
human:MCRIP1,human
human:SERPINA7,human
human:AC087741.1,human
human:EIF4A3,human
human:HAUS1,human
human:C17orf99,human
human:AL022311.1,human
human:SEPT9,human
human:CYGB,human
human:YES1,human
human:UBALD2,human
human:SMIM5,human
human:GRIN2C,human
human:SLC9A3R1,human
human:KIF19,human
human:LINC01497,human
human:LIN37,human
human:ABCA8,human
human:ATP5PD,human
human:FAM20A,human
human:BCAP31,human
human:MICOS10P2,human
human:SNORD104,human
human:AC046185.3,human
human:COMT,human
human:TBX2-AS1,human
human:AC080038.1,human
human:SMG8,human
human:BTBD2,human
human:DHX40,human
human:MTMR4,human
human:SEPT4,human
human:SUPT4H1,human
human:MRPS23,human
human:CLTC,human
human:CCM2L,human
human:NME2,human
human:DLX4,human
human:NXPH3,human
human:PHOSPHO1,human
human:HOXB-AS3,human
human:LRRC46,human
human:MRPL10,human
human:NME1-NME2,human
human:MT-RNR2,human
human:SOST,human
human:AOC2,human
human:RAB5C,human
human:PLEKHJ1,human
human:AC019349.1,human
human:NT5C3B,human
human:AC073508.2,human
human:CASC3,human
human:LHX1-DT,human
human:SNHG30,human
human:AC060766.1,human
human:LASP1,human
human:TMEM132E,human
human:GIT1,human
human:AC002094.3,human
human:C17orf51,human
human:MTCO3P13,human
human:LINC01563,human
human:ZCCHC18,human
human:CCDC144NL-AS1,human
human:SNORD3A,human
human:SREBF1,human
human:RASD1,human
human:RPS2P46,human
human:AC098850.4,human
human:ZNF286A,human
human:LRRC75A,human
human:RNF165,human
human:AC005410.2,human
human:MYH2,human
human:NTN1,human
human:RANGRF,human
human:AC129492.7,human
human:ALOX15B,human
human:ATP1B2,human
human:MPDU1,human
human:NEURL4,human
human:AC026954.2,human
human:AC135178.2,human
human:ACADVL,human
human:RNASEK-C17orf49,human
human:C17orf49,human
human:LINC01544,human
human:RNASEK,human
human:AC004148.2,human
human:SPAG7,human
human:SLC25A11,human
human:C2CD4C,human
human:PITPNA-AS1,human
human:SLC7A5,human
human:SMIM7,human
human:RPL26,human
human:MVD,human
human:FENDRR,human
human:DNAAF1,human
human:RFPL1S,human
human:APRT,human
human:WRB-SH3BGR,human
human:ATMIN,human
human:AC105411.1,human
human:CMC2,human
human:USP9Y,human
human:AL022238.4,human
human:CHST6,human
human:LDHD,human
human:CLEC18B,human
human:TAT,human
human:AC027682.2,human
human:CKLF,human
human:MMP15,human
human:CFAP20,human
human:RPS27AP16,human
human:COQ9,human
human:CPNE2,human
human:FAM192A,human
human:MT1X,human
human:HERPUD1,human
human:MT1B,human
human:MT1M,human
human:MT1L,human
human:MT1F,human
human:BBS2,human
human:GPS2,human
human:CRNDE,human
human:MT1H,human
human:HOXB2,human
human:C16orf87,human
human:NKIRAS2,human
human:MT1G,human
human:PRSS53,human
human:FBXL19,human
human:PRR14,human
human:SEPT1,human
human:AC116348.4,human
human:AHSP,human
human:CORO1A,human
human:H1F0,human
human:AC027682.3,human
human:XKR7,human
human:TANGO2,human
human:AP000553.1,human
human:AC093512.2,human
human:SLC8A2,human
human:NSMCE1,human
human:CHP2,human
human:ACSM2A,human
human:ACSM2B,human
human:THUMPD1,human
human:GPRC5B,human
human:AC130456.3,human
human:AC138811.2,human
human:NARF,human
human:SOCS1,human
human:ABAT,human
human:CARHSP1,human
human:ROGDI,human
human:NUDT16L1,human
human:IL32,human
human:RPS23P8,human
human:TNFRSF12A,human
human:ABCA3,human
human:MYLPF,human
human:ECI1,human
human:TRAF7,human
human:AC020915.5,human
human:SNHG19,human
human:NPW,human
human:SPSB3,human
human:NUBP2,human
human:AC009041.2,human
human:SOX8,human
human:HBQ1,human
human:SNRNP25,human
human:TM2D3,human
human:NR2F2-AS1,human
human:LINC01578,human
human:AC091167.2,human
human:ABHD2,human
human:HBM,human
human:HAPLN3,human
human:MRPS11,human
human:SNHG21,human
human:AC105339.2,human
human:CEMIP,human
human:ST20-MTHFS,human
human:AC105036.3,human
human:SNUPN,human
human:AC100835.2,human
human:AC010931.2,human
human:AC135050.2,human
human:AC055839.2,human
human:RASL12,human
human:RPS3AP6,human
human:CDH3,human
human:POLR2M,human
human:PRTG,human
human:AC092069.1,human
human:GABPB1-IT1,human
human:AC092078.1,human
human:BLOC1S6,human
human:EIF3J,human
human:CA11,human
human:CKMT1A,human
human:CKMT1B,human
human:OIP5-AS1,human
human:FAM98B,human
human:ZNF770,human
human:AC087457.1,human
human:EMC7,human
human:SNHG14,human
human:AC124312.1,human
human:PWRN4,human
human:EIF3L,human
human:MKRN3,human
human:AC138649.1,human
human:TMEM100,human
human:PCYT2,human
human:JUNB,human
human:BTBD6,human
human:KIF26A,human
human:ASPG,human
human:ATP5MPL,human
human:AMN,human
human:MEG9,human
human:SNORD113-3,human
human:AL117190.2,human
human:YY1,human
human:SLC25A29,human
human:SLC25A47,human
human:RPL3P4,human
human:CCDC151,human
human:AL049839.2,human
human:SERPINA4,human
human:SERPINA5,human
human:RNASEH2A,human
human:SERPINA1,human
human:AC093525.2,human
human:LINC01146,human
human:RN7SKP255,human
human:GALC,human
human:GPT2,human
human:NGB,human
human:ESRRB,human
human:ERG28,human
human:ACYP1,human
human:ALDH6A1,human
human:PAPLN,human
human:PNMA1,human
human:AC004816.1,human
human:PGP,human
human:RPAIN,human
human:CCL22,human
human:RAB15,human
human:LINC00643,human
human:TMEM30B,human
human:TRMT5,human
human:DHRS7,human
human:CDH19,human
human:AL049838.1,human
human:SOCS4,human
human:MAPK1IP1L,human
human:CDKN3,human
human:CNIH1,human
human:LINC01588,human
human:RN7SL1,human
human:CLEC14A,human
human:SFTA3,human
human:RPS19P3,human
human:COCH,human
human:AL133166.1,human
human:FOXG1-AS1,human
human:LRP10,human
human:OXA1L,human
human:LINC00641,human
human:RPL10P16,human
human:ZNF219,human
human:ANG,human
human:CCNB1IP1,human
human:UPF3A,human
human:F7,human
human:CSNK2A2,human
human:FAM155A,human
human:EFNB2,human
human:METTL21C,human
human:AL137139.1,human
human:SOX21-AS1,human
human:PTMAP5,human
human:AC005696.4,human
human:CLEC18A,human
human:RPL36,human
human:ZNF667-AS1,human
human:TMEM230,human
human:NEK5,human
human:FABP5P2,human
human:RPL13AP25,human
human:CAB39L,human
human:EBPL,human
human:SIAH3,human
human:CSK,human
human:CFAP52,human
human:FAM216B,human
human:TOMM34,human
human:DNAJC15,human
human:KBTBD6,human
human:AL354809.1,human
human:CCNA1,human
human:GUSBP11,human
human:HBA1,human
human:MEDAG,human
human:PRR35,human
human:APOBEC3C,human
human:LINC02133,human
human:IL17D,human
human:AL161772.1,human
human:NOB1,human
human:TMEM132D,human
human:SNRPGP2,human
human:ATP5F1A,human
human:RHOF,human
human:AC026362.1,human
human:AC002094.1,human
human:HNF1A-AS1,human
human:UNC119B,human
human:LINC01551,human
human:RPS27P25,human
human:HSPB8,human
human:LINC02440,human
human:RPS2P5,human
human:SGSM3,human
human:C12orf49,human
human:TBX5-AS1,human
human:LHX5-AS1,human
human:AC010624.2,human
human:SDSL,human
human:LINC01405,human
human:ELOB,human
human:C12orf76,human
human:MMAB,human
human:FOXN4,human
human:UNG,human
human:ISCU,human
human:RTL8A,human
human:RPL18AP3,human
human:GLT8D2,human
human:WASHC3,human
human:CHPT1,human
human:SCYL2,human
human:AC069437.1,human
human:LINC00205,human
human:CFAP54,human
human:AC010503.2,human
human:RPL41P5,human
human:AC063949.2,human
human:EPYC,human
human:NUDT4,human
human:DUSP6,human
human:KITLG,human
human:NTS,human
human:PTPRQ,human
human:TCEAL5,human
human:CSRP2,human
human:RPL36AL,human
human:RAB3IP,human
human:CPM,human
human:MDM1,human
human:AC078927.1,human
human:WIF1,human
human:AC004086.1,human
human:USP15,human
human:MAP1LC3C,human
human:RPLP0,human
human:AC025154.2,human
human:ZMAT2,human
human:EIF4EBP3,human
human:AC142391.1,human
human:GPRC5C,human
human:BPIFB2,human
human:SLC25A48,human
human:AL627171.2,human
human:AC239859.6,human
human:AC099850.2,human
human:MCRIP2,human
human:HOPX,human
human:WNT7A,human
human:SKP1,human
human:AC034236.1,human
human:CCN3,human
human:PPIAP22,human
human:CDO1,human
human:EPB41L4A-AS1,human
human:SDC4,human
human:SLCO4C1,human
human:AC106795.3,human
human:GALNT8,human
human:GREM2,human
human:LIX1-AS1,human
human:AC002116.1,human
human:ARSE,human
human:KLHDC3,human
human:KIFC2,human
human:TMEM161B-AS1,human
human:SLC5A3,human
human:KCNJ8,human
human:NUDT5,human
human:RAET1E-AS1,human
human:FAM214B,human
human:PDE2A,human
human:ADIRF,human
human:RPL26P19,human
human:MT-ND4L,human
human:LINC01091,human
human:FST,human
human:SATB2-AS1,human
human:SHF,human
human:AC024293.1,human
human:AC000095.3,human
human:NIPBL-DT,human
human:AC239798.2,human
human:AC016152.1,human
human:NPR3,human
human:PRR29,human
human:GK,human
human:ADAMTS7,human
human:PTGER4,human
human:AC006299.1,human
human:BASP1-AS1,human
human:AL121753.1,human
human:HAL,human
human:AC114291.1,human
human:LINC01781,human
human:AP002807.1,human
human:LRRC14B,human
human:LINC02027,human
human:AC021087.5,human
human:TWF1,human
human:F11-AS1,human
human:AC018709.1,human
human:C4orf47,human
human:CENPS-CORT,human
human:CENPU,human
human:NARS,human
human:LINC02363,human
human:NR2F1-AS1,human
human:METTL26,human
human:DCTD,human
human:ELOVL6,human
human:LRRC39,human
human:TMEM98,human
human:C22orf39,human
human:SLC6A8,human
human:GASK1B,human
human:SPEGNB,human
human:PLRG1,human
human:TMEM97,human
human:PLAC1,human
human:HCN4,human
human:LNCTAM34A,human
human:CLCNKB,human
human:DIPK1A,human
human:WDR17,human
human:GYPB,human
human:AC012146.1,human
human:PGRMC2,human
human:INTU,human
human:SC5D,human
human:UGT8,human
human:LINC01116,human
human:CHEK1,human
human:ADH4,human
human:CCL2,human
human:AL035425.3,human
human:SHMT2,human
human:WDR48,human
human:HM13,human
human:AL162231.4,human
human:AFF1,human
human:FAAP20,human
human:GPAT3,human
human:SCD5,human
human:MICOS13,human
human:AP000944.2,human
human:CENPN,human
human:NPM1P27,human
human:POPDC3,human
human:AMBN,human
human:GRSF1,human
human:SULT1E1,human
human:RORC,human
human:AP001062.3,human
human:AC115223.1,human
human:IGFBP7,human
human:RAN,human
human:FAM47E-STBD1,human
human:IQCJ-SCHIP1,human
human:ARL9,human
human:MEG8,human
human:MIR99AHG,human
human:LINC01618,human
human:HIST1H1E,human
human:CORIN,human
human:ATP1A1,human
human:AC104072.1,human
human:SHISA3,human
human:AP001107.2,human
human:AL139260.2,human
human:HTRA2,human
human:DRC1,human
human:CYP19A1,human
human:LINC02058,human
human:AC004967.1,human
human:RMST,human
human:IL1RAP,human
human:RASSF4,human
human:ZFHX2-AS1,human
human:TMEM191C,human
human:AC096531.2,human
human:SEPT6,human
human:TMEM271,human
human:STAG3L4,human
human:TRPM8,human
human:MIR4500HG,human
human:AC067773.1,human
human:KIF9,human
human:SPON2,human
human:AP000295.1,human
human:PMP2,human
human:FRG1HP,human
human:MSANTD1,human
human:NAT8L,human
human:AC010729.2,human
human:AC018738.1,human
human:BTG3,human
human:AC116345.1,human
human:TMEM45A,human
human:HSD17B11,human
human:AL009174.1,human
human:MELTF,human
human:NCBP2AS2,human
human:KAT2B,human
human:RHD,human
human:AC026461.2,human
human:SEPT3,human
human:POLD2,human
human:ATP5ME,human
human:HRG,human
human:FETUB,human
human:SEMA3E,human
human:RBM12,human
human:TBCCD1,human
human:TMEM41A,human
human:AC009779.3,human
human:AC131235.1,human
human:CYP3A7,human
human:SOX2-OT,human
human:NUP93,human
human:MT-CO3,human
human:GDF15,human
human:WDR86,human
human:KCNMB3,human
human:TAF7,human
human:KANK1,human
human:DNPH1,human
human:TSTD1,human
human:NCEH1,human
human:THAP11,human
human:AC004947.2,human
human:AC024592.3,human
human:SERPINI2,human
human:ZBBX,human
human:PTX3,human
human:PLCH1,human
human:NAA10,human
human:AMHR2,human
human:DPY19L2P2,human
human:RTL8B,human
human:EEF1A1P5,human
human:MINDY4B,human
human:KLHL25,human
human:CNTFR,human
human:SEPT11,human
human:BACE2,human
human:TM4SF1,human
human:AC092958.1,human
human:FGFR3,human
human:AC107398.3,human
human:AF106564.1,human
human:AC114936.3,human
human:FOXL2NB,human
human:LINC01391,human
human:CDKN1B,human
human:SELENBP1,human
human:AMOTL2,human
human:ALDH3A2,human
human:HDDC2,human
human:MRPL3,human
human:LINC02397,human
human:MYL5,human
human:H1FX,human
human:NKD1,human
human:LINC01305,human
human:TMEM56,human
human:ADCY5,human
human:AC073593.2,human
human:PDYN,human
human:TMEM237,human
human:NDUFB4,human
human:ROCR,human
human:CD14,human
human:ZBTB20-AS5,human
human:AC018521.1,human
human:IFT57,human
human:LINC01338,human
human:FABP5P7,human
human:CFAP299,human
